"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-22",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-24",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-25",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-26",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-27",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-28",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-29",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-11-30",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-01",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-02",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-03",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-04",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-05",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-06",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-07",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-08",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-09",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-10",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-11",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-12",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-13",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-14",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-15",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-16",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-17",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-18",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-19",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-20",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-21",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-22",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-23",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-24",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-25",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-26",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-27",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-28",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-29",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-30",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2020-12-31",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-01",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-02",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-03",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-04",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-05",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-07",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-08",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-09",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-12",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-13",,,,,,
"US1NYNG0044","NORTH TONAWANDA 1.4 WNW, NY US","43.0517292","-78.8908272","194.8","2021-01-14",,,,,,
